# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8892709968016221,2.790251743128307,0.09019660128379225,0,3.0,0.2453328308485213,180.0,0.0,0.06594405863900955
 0.08995133733651144,1.9014078463958206,2.7902708493085053,0.09019660128379225,0.2698540120095343,3.0,0.2453328308485213,-179.99406824373602,4.543442558256091,0.4686416833461363
 0.1279213530886456,1.9138166601853772,2.790327746292378,0.2627111867896928,0.38376405926593676,2.999999999999999,0.22587991684725325,-179.97627391163726,5.482572906802303,1.0014791009134887
 0.15753165446711062,1.9264948356807328,2.790421801744841,0.425051822889516,0.4725949634013317,2.9999999999999973,0.20828573197806846,-179.94661981363498,6.030873790528673,1.6372809155080377
 0.1828841647094324,1.939439770392329,2.790552383330812,0.5779496124340441,0.5486524941282971,3.000000000000002,0.1923325659679883,-179.905110632455,6.356539275498053,2.3534524526233973
 0.2055562648052885,1.9526488618306075,2.7907188587152056,0.7220657071513765,0.6166687944158653,2.9999999999999964,0.1778325164694182,-179.8517529228783,6.536900419645349,3.135290384316292
 0.22635108894622072,1.9661195075060094,2.79092059556294,0.8579994018046877,0.679053266838662,2.9999999999999987,0.16462284353629758,-179.78655511070568,6.616208116594841,3.9723126490711516
 0.24574221600068588,1.979849104928976,2.7911569615389302,0.9862951340123619,0.7372266480020575,3.0000000000000027,0.15256213161238175,-179.70952749142748,6.622700558542167,4.856615296313223
 0.2640358747339947,1.9938350516099488,2.7914273243080943,1.107448557923226,0.792107624201984,3.0000000000000013,0.14152710444572228,-179.62068222859776,6.575609937243465,5.782009697117158
 0.2814431227250349,2.008074745059369,2.7917310515353466,1.2219118307931713,0.8443293681751047,3.000000000000006,0.13140997179933966,-179.52003335191344,6.488606614750087,6.743517308728704
 0.2981164093449118,2.0225655827876787,2.7920675108856057,1.3300982286445286,0.8943492280347354,3.0,0.12211620903441253,-179.4075967549989,6.371700896643392,7.737050095972666
 0.3141698871642363,2.037304962305318,2.7924360700237862,1.4323861876601631,0.9425096614927088,2.9999999999999964,0.11356269291960183,-179.2833901928962,6.232382293587615,8.759196521244693
 0.32969150644805223,2.0522902811227297,2.7928360966148063,1.5291228528524259,0.9890745193441567,3.0000000000000036,0.10567613022919535,-179.14743327926132,6.076344179451628,9.807071827316205
 0.3447506187493326,2.067518936750354,2.793266958323581,1.6206272022320192,1.0342518562479979,3.0000000000000036,0.09839172888382498,-178.99974748326704,5.907966313586895,10.878209629168753
 0.3594029707896127,2.0829883266986324,2.793728022815028,1.7071928045008102,1.078208912368838,2.999999999999996,0.09165206989620392,-178.8403561262125,5.730647819340551,11.970481209355007
 0.3736941045694317,2.098695848478007,2.7942186577540618,1.7890902591320341,1.121082313708295,2.999999999999996,0.0854061470390383,-178.6692843778408,5.547043639456611,13.082034054090782
 0.3876617432960407,2.1146388995989187,2.794738230805601,1.8665693606886984,1.162985229888122,3.0,0.07960854679670652,-178.48655925236406,5.35923637511119,14.2112441458733
 0.4013375092016359,2.1308148775718094,2.795286109634561,1.9398610227874697,1.2040125276049078,3.000000000000012,0.07421874576651644,-178.29220960419784,5.168863597632527,15.356678335054681
 0.41474818801511354,2.1472211799071195,2.795861661905858,2.009178992325996,1.2442445640453406,2.9999999999999876,0.06920050644260552,-178.08626612340453,4.977213672904047,16.517064250868202
 0.4279166778419873,2.1638552041152916,2.796464255284409,2.07472137994381,1.2837500335259617,2.999999999999996,0.06452135804767216,-177.86876133084715,4.785298878012158,17.691265954199384
 0.4408627133821387,2.180714347706766,2.7970932574351304,2.136672029288802,1.3225881401464161,3.0000000000000044,0.060152146469699845,-177.6397295730538,4.593911829621189,18.878264031300876
 0.4536034270336109,2.1977960081919843,2.7977480360229383,2.195201744450116,1.3608102811008327,3.0000000000000044,0.05606664544248911,-177.39920701679412,4.403669467583779,20.077139169465763
 0.46615378947814645,2.2150975830813886,2.798427958712749,2.2504693923542276,1.3984613684344394,3.0,0.05224121884880588,-177.14723164336795,4.2150476307257385,21.287058495536392
 0.4785269598161481,2.2326164698854196,2.79913239316948,2.3026228946719876,1.4355808794484444,3.0,0.0486545259080872,-176.88384324260767,4.0284084379372995,22.507264130100822
 0.49073456685467265,2.2503500661145184,2.7998607070580466,2.3518001218730022,1.4722037005640178,2.999999999999991,0.04528726567306824,-176.60908340659512,3.8440221170354096,23.737063535624635
 0.5027869373204714,2.268295769279127,2.8006122680433654,2.3981297005062374,1.508360811961414,2.9999999999999907,0.04212195142331205,-176.32299552309357,3.662084498384415,24.975821329359242
 0.5146932826804863,2.286450976889687,2.8013864437903533,2.441731743281559,1.5440798480414586,2.9999999999999907,0.039142715021149736,-176.0256247686962,3.4827311079958685,26.222952301567926
 0.5264618533377805,2.304813086456639,2.8021826019639264,2.482718510406365,1.5793855600133413,3.0000000000000093,0.03633513381372813,-175.71701810169233,3.3060485700803555,27.477915432592283
 0.5381000668632802,2.3233794954904243,2.8030001102290014,2.521195009590633,1.6143002005898404,3.0000000000000093,0.03368607798910629,-175.3972242546522,3.1320838633457253,28.740208742847283
 0.549614615378976,2.3421476015014853,2.803838336250495,2.5572595411903554,1.6488438461369281,3.0000000000000098,0.031183578045385792,-175.06629372673146,2.9608518623796956,30.00936484155342
 0.561011556062012,2.361114802000263,2.804696647693323,2.5910041942371533,1.683034668186036,2.9999999999999902,0.028816705118669066,-174.7242787756967,2.792341496852213,31.284947064676146
